title,video id,youtube url,filename,tags
Banded No Money,Tqu3_D00h2E,https://www.youtube.com/watch?v=Tqu3_D00h2E,,['band']
Barbell Deadlift,W6oP5xJHkFQ,https://www.youtube.com/watch?v=W6oP5xJHkFQ,,['lower body']
Band-Resisted Goblet Squat,biOKxrfbdlY,https://www.youtube.com/watch?v=biOKxrfbdlY,,"['band', 'lower body']"
Banded Hip Extension,j0FCrPUuvcM,https://www.youtube.com/watch?v=j0FCrPUuvcM,,['band']
Barbell Front Squat Iso,lIBNIzsWGTM,https://www.youtube.com/watch?v=lIBNIzsWGTM,,['lower body']
Band-Resisted Pull-Up,1TJKSq9TcXI,https://www.youtube.com/watch?v=1TJKSq9TcXI,,"['upper body', 'band']"
Barbell Front Squat,ABg7luSIogM,https://www.youtube.com/watch?v=ABg7luSIogM,,['lower body']
Banded Curl,AVYsCQ_iGzs,https://www.youtube.com/watch?v=AVYsCQ_iGzs,,['band']
Barbell Back Squat,CuEc33hWb4Y,https://www.youtube.com/watch?v=CuEc33hWb4Y,,['lower body']
Banded Pull-Down,FwkJXHGYk8o,https://www.youtube.com/watch?v=FwkJXHGYk8o,,"['upper body', 'band']"
Barbell Floor Press,JJPQIXP1EWk,https://www.youtube.com/watch?v=JJPQIXP1EWk,,"['upper body', 'floor']"
Barbell Front Squat to Box,KZXxiUAqqh8,https://www.youtube.com/watch?v=KZXxiUAqqh8,,['lower body']
Banded External Rotation at 90 Degrees Abduction,M4uQkI7bHI8,https://www.youtube.com/watch?v=M4uQkI7bHI8,,"['band', 'core']"
Barbell Bench Press,ONjwKPYiG4w,https://www.youtube.com/watch?v=ONjwKPYiG4w,,['upper body']
Band-Resisted Squat,QPVj9zvDgpw,https://www.youtube.com/watch?v=QPVj9zvDgpw,,"['band', 'lower body']"
Barbell Hip Thrust,56Knh4AdxEI,https://www.youtube.com/watch?v=56Knh4AdxEI,,['Uncategorized']
