id,name,video_url,movement_type,body_focus
306,"""Reach","Lift""",strength,"[""full-body""]"
16,"15 MIN BEGINNER CARDIO WORKOUT (No Jumping, Small Space Friendly, No Equipment)",https://www.youtube.com/watch?v=3oitzTfujXs,Cardio,"[""Full Body""]"
48,15 MIN TOTAL CORE/AB WORKOUT (At Home No Equipment),https://www.youtube.com/watch?v=glxrwC9zsHY,,"[""Full Body""]"
14,"20 MIN LAZY GIRL FULL BODY WORKOUT - No Jumping, Low Impact, Laying Down",https://www.youtube.com/watch?v=cMa-q4KS5dE,,"[""Full Body""]"
43,30 MIN FULL BODY FAT BURN HIIT (No Jumping &amp; Low Impact),https://www.youtube.com/watch?v=u3h_Yr40rhg,,"[""Full Body""]"
27,7 MIN DAILY ABS WORKOUT - At Home Total Core Workout,https://www.youtube.com/watch?v=UhgEocboADQ,,"[""Full Body""]"
377,90/90 Wall Balloon-Breathing,https://www.youtube.com/watch?v=fwOUp7Jku0w,,"[""Full Body""]"
127,90/90 Wall Balloon-Breathing,https://www.youtube.com/watch?v=fwOUp7Jku0w,strength,"[""full-body""]"
427,90/90 Wall Balloon-Breathing,https://www.youtube.com/watch?v=fwOUp7Jku0w,,"[""Full Body""]"
413,Ab Wheel Iso,https://www.youtube.com/watch?v=gyhdObhnxjw,,"[""Full Body""]"
117,Ab Wheel Iso,https://www.youtube.com/watch?v=gyhdObhnxjw,strength,"[""core""]"
363,Ab Wheel Iso,https://www.youtube.com/watch?v=gyhdObhnxjw,,"[""Full Body""]"
120,Ab Wheel Iso,https://www.youtube.com/watch?v=oYanDivdClU,strength,"[""core""]"
395,Ab Wheel Rollout,https://www.youtube.com/watch?v=qFp5JzdquAI,,"[""Full Body""]"
129,Ab Wheel Rollout,https://www.youtube.com/watch?v=R3jbna-ytkk,strength,"[""core""]"
121,Ab Wheel Rollout,https://www.youtube.com/watch?v=qFp5JzdquAI,strength,"[""core""]"
345,Ab Wheel Rollout,https://www.youtube.com/watch?v=qFp5JzdquAI,,"[""Full Body""]"
134,Adductor Mobilization,https://www.youtube.com/watch?v=_LFqmZHQL2g,strength,"[""full-body""]"
398,Adductor Mobilization,https://www.youtube.com/watch?v=_LFqmZHQL2g,,"[""Full Body""]"
119,Adductor Mobilization,https://www.youtube.com/watch?v=mKKPXUWDDFo,strength,"[""full-body""]"
348,Adductor Mobilization,https://www.youtube.com/watch?v=_LFqmZHQL2g,,"[""Full Body""]"
130,Alternating Barbell Split Jump,https://www.youtube.com/watch?v=RtkM_vVZh-A,strength,"[""full-body""]"
378,Alternating Barbell Split Jump,https://www.youtube.com/watch?v=RtkM_vVZh-A,,"[""Full Body""]"
428,Alternating Barbell Split Jump,https://www.youtube.com/watch?v=RtkM_vVZh-A,,"[""Full Body""]"
133,Alternating Barbell Split Jump,https://www.youtube.com/watch?v=Y9ASJT-UDNo,strength,"[""full-body""]"
142,Alternating Bodyweight Split Jump,https://www.youtube.com/watch?v=5UXjsnmrgwE,strength,"[""full-body""]"
136,Alternating Bodyweight Split Jump,https://www.youtube.com/watch?v=a91-Vu1u_dI,strength,"[""full-body""]"
422,Alternating Bodyweight Split Jump,https://www.youtube.com/watch?v=a91-Vu1u_dI,,"[""Full Body""]"
372,Alternating Bodyweight Split Jump,https://www.youtube.com/watch?v=a91-Vu1u_dI,,"[""Full Body""]"
343,Alternating Dumbbell Bench Press,https://www.youtube.com/watch?v=_zbZ-l_Mat8,Strength,"[""Full Body""]"
393,Alternating Dumbbell Bench Press,https://www.youtube.com/watch?v=_zbZ-l_Mat8,Strength,"[""Full Body""]"
355,Alternating Dumbbell Bench Press,https://www.youtube.com/watch?v=Ho8fA1ju0J0,Strength,"[""Full Body""]"
405,Alternating Dumbbell Bench Press,https://www.youtube.com/watch?v=Ho8fA1ju0J0,Strength,"[""Full Body""]"
135,Alternating Dumbbell Bench Press,https://www.youtube.com/watch?v=_zbZ-l_Mat8,strength,"[""upper-body""]"
146,Alternating Dumbbell Bench Press,https://www.youtube.com/watch?v=Ho8fA1ju0J0,strength,"[""upper-body""]"
388,Alternating Dumbbell Curl,https://www.youtube.com/watch?v=-skLK9YSRus,Strength,"[""Full Body""]"
338,Alternating Dumbbell Curl,https://www.youtube.com/watch?v=-skLK9YSRus,Strength,"[""Full Body""]"
139,Alternating Dumbbell Curl,https://www.youtube.com/watch?v=0tNGXZleg24,strength,"[""full-body""]"
138,Alternating Dumbbell Curl,https://www.youtube.com/watch?v=-skLK9YSRus,strength,"[""full-body""]"
122,Alternating Dumbell Split Jump,https://www.youtube.com/watch?v=s8jLKMCYriM,strength,"[""full-body""]"
143,Alternating Dumbell Split Jump,https://www.youtube.com/watch?v=7cVPUk8dXq4,strength,"[""full-body""]"
137,Alternating Goblet Reverse Lunge With Blocked Knee,https://www.youtube.com/watch?v=EFT7AwCpc4I,strength,"[""lower-body""]"
361,Alternating Goblet Reverse Lunge With Blocked Knee,https://www.youtube.com/watch?v=mJ1QsjZpw10,,"[""Full Body""]"
118,Alternating Goblet Reverse Lunge With Blocked Knee,https://www.youtube.com/watch?v=mJ1QsjZpw10,strength,"[""lower-body""]"
411,Alternating Goblet Reverse Lunge With Blocked Knee,https://www.youtube.com/watch?v=mJ1QsjZpw10,,"[""Full Body""]"
341,Alternating Lateral Lunge Walk,https://www.youtube.com/watch?v=XoKx8eQMElQ,Cardio,"[""Full Body""]"
391,Alternating Lateral Lunge Walk,https://www.youtube.com/watch?v=XoKx8eQMElQ,Cardio,"[""Full Body""]"
132,Alternating Lateral Lunge Walk,https://www.youtube.com/watch?v=XoKx8eQMElQ,cardiovascular,"[""lower-body"", ""cardio""]"
158,Anderson Front Squat,https://www.youtube.com/watch?v=47kDGTflr20,strength,"[""lower-body""]"
126,App Explainer For Reg_210225,https://www.youtube.com/watch?v=zkMNhKFojv0,strength,"[""full-body""]"
151,Assisted Bodyweight Squat to Box,https://www.youtube.com/watch?v=e51lkr3K20M,strength,"[""lower-body""]"
416,Assisted Lateral Squat,https://www.youtube.com/watch?v=hTsWrA9PSHA,Strength,"[""Full Body""]"
366,Assisted Lateral Squat,https://www.youtube.com/watch?v=hTsWrA9PSHA,Strength,"[""Full Body""]"
148,Assisted Lateral Squat,https://www.youtube.com/watch?v=hTsWrA9PSHA,strength,"[""lower-body""]"
147,Assisted Reverse Lunge With Blocked Knee,https://www.youtube.com/watch?v=ajHqeSS54n4,strength,"[""lower-body""]"
408,Assisted Reverse Lunge With Blocked Knee,https://www.youtube.com/watch?v=ajHqeSS54n4,,"[""Full Body""]"
358,Assisted Reverse Lunge With Blocked Knee,https://www.youtube.com/watch?v=ajHqeSS54n4,,"[""Full Body""]"
149,Band Press-Down,https://www.youtube.com/watch?v=amC_ncSPjZY,strength,"[""upper-body""]"
347,Band Pull-Apart,https://www.youtube.com/watch?v=liaxBZIdP7g,,"[""Full Body""]"
153,Band Pull-Apart,https://www.youtube.com/watch?v=liaxBZIdP7g,strength,"[""upper-body""]"
397,Band Pull-Apart,https://www.youtube.com/watch?v=liaxBZIdP7g,,"[""Full Body""]"
352,Band Stomp,https://www.youtube.com/watch?v=bFufUNtLqUw,,"[""Full Body""]"
402,Band Stomp,https://www.youtube.com/watch?v=bFufUNtLqUw,,"[""Full Body""]"
150,Band Stomp,https://www.youtube.com/watch?v=bFufUNtLqUw,strength,"[""full-body""]"
156,Band-Assisted Chin-Up,https://www.youtube.com/watch?v=T2fqfULPj2I,strength,"[""full-body""]"
152,Band-Assisted Inverted Row,https://www.youtube.com/watch?v=eOCUW63XeO8,strength,"[""upper-body""]"
157,Band-Assisted Neutral-Grip Pull-Up,https://www.youtube.com/watch?v=03DDGXj-9ZA,strength,"[""upper-body""]"
407,Band-Assisted Pull-Up,https://www.youtube.com/watch?v=nWUU6LfApv0,,"[""Full Body""]"
154,Band-Assisted Pull-Up,https://www.youtube.com/watch?v=nWUU6LfApv0,strength,"[""upper-body""]"
357,Band-Assisted Pull-Up,https://www.youtube.com/watch?v=nWUU6LfApv0,,"[""Full Body""]"
160,Band-Assisted Pushup,https://www.youtube.com/watch?v=IczycfOOBck,strength,"[""upper-body""]"
333,Band-Assisted Pushup,https://www.youtube.com/watch?v=IczycfOOBck,,"[""Full Body""]"
383,Band-Assisted Pushup,https://www.youtube.com/watch?v=IczycfOOBck,,"[""Full Body""]"
337,Band-Resisted Ab Wheel Iso,https://www.youtube.com/watch?v=9z8dtaNz4EA,,"[""Full Body""]"
387,Band-Resisted Ab Wheel Iso,https://www.youtube.com/watch?v=9z8dtaNz4EA,,"[""Full Body""]"
159,Band-Resisted Ab Wheel Iso,https://www.youtube.com/watch?v=9z8dtaNz4EA,strength,"[""core""]"
155,Band-Resisted Glute Bridge,https://www.youtube.com/watch?v=MhhC2E1zZ_E,strength,"[""lower-body""]"
339,Band-Resisted Glute Bridge,https://www.youtube.com/watch?v=MhhC2E1zZ_E,,"[""Full Body""]"
389,Band-Resisted Glute Bridge,https://www.youtube.com/watch?v=MhhC2E1zZ_E,,"[""Full Body""]"
50,Band-Resisted Goblet Squat,https://www.youtube.com/watch?v=biOKxrfbdlY,Strength,"[""Full Body""]"
55,Band-Resisted Pull-Up,https://www.youtube.com/watch?v=1TJKSq9TcXI,,"[""Full Body""]"
51,Band-Resisted Pushup,https://www.youtube.com/watch?v=u7QnowXDjYE,,"[""Full Body""]"
56,Band-Resisted Ring Pushup,https://www.youtube.com/watch?v=o2IpgYPmSyY,,"[""Full Body""]"
52,Band-Resisted Scapular Pushup,https://www.youtube.com/watch?v=tteASE_vcQk,,"[""Full Body""]"
63,Band-Resisted Squat,https://www.youtube.com/watch?v=QPVj9zvDgpw,Strength,"[""Full Body""]"
64,Banded Curl,https://www.youtube.com/watch?v=AVYsCQ_iGzs,Strength,"[""Full Body""]"
68,Banded External Rotation at 30 Degrees Abduction,https://www.youtube.com/watch?v=sVs234-ruyM,,"[""Full Body""]"
59,Banded External Rotation at 90 Degrees Abduction,https://www.youtube.com/watch?v=M4uQkI7bHI8,,"[""Full Body""]"
70,Banded Face Pull,https://www.youtube.com/watch?v=fgSbZJ_XHfA,,"[""Full Body""]"
53,Banded Hip Extension,https://www.youtube.com/watch?v=j0FCrPUuvcM,,"[""Full Body""]"
67,Banded No Money,https://www.youtube.com/watch?v=Tqu3_D00h2E,,"[""Full Body""]"
66,Banded Pull-Down,https://www.youtube.com/watch?v=FwkJXHGYk8o,,"[""Full Body""]"
71,Banded Scapular Protraction,https://www.youtube.com/watch?v=siub6CnhOPw,,"[""Full Body""]"
62,Barbell Back Squat,https://www.youtube.com/watch?v=CuEc33hWb4Y,Strength,"[""Full Body""]"
