title,video id,youtube url,filename,tags,primary_movement_pattern
Sit To Stand,8dlx3nDGfqM,https://www.youtube.com/watch?v=8dlx3nDGfqM,,gentle,squat
Seated Knee Lifts,4kDmdnwD1gE,https://www.youtube.com/watch?v=4kDmdnwD1gE,,gentle,knee_lift
Seated Heel Raises,xqwTKnX9EOk,https://www.youtube.com/watch?v=xqwTKnX9EOk,,gentle,heel_raise
Seated Arm Raises,FLLL_IESIfw,https://www.youtube.com/watch?v=FLLL_IESIfw,,gentle,arm_raise
Seated Shoulder Shrugs,bdF69YHsQXQ,https://www.youtube.com/watch?v=bdF69YHsQXQ,,gentle,shrug
Seated Torso Twists,mX0J1o2uGHQ,https://www.youtube.com/watch?v=mX0J1o2uGHQ,,gentle,torso_twist
Calm Breathing,gV-ceVhpUEA,https://www.youtube.com/watch?v=gV-ceVhpUEA,,gentle,breathing
Wall Push Aways,vf8_Laa_Mp0,https://www.youtube.com/watch?v=vf8_Laa_Mp0,,gentle,push
